City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Bredasdorp,ZA,2021-04-26 01:32:14,-34.5322,20.0403,51.8,93,95,3.44,overcast clouds
60,Patea,NZ,2021-04-26 01:32:14,-39.7583,174.4833,59.0,69,100,7.0,overcast clouds
61,Albany,US,2021-04-26 01:29:19,42.6001,-73.9662,51.8,53,20,20.71,few clouds
62,Kaitangata,NZ,2021-04-26 01:32:14,-46.2817,169.8464,46.09,91,100,15.99,overcast clouds
63,Busselton,AU,2021-04-26 01:32:15,-33.65,115.3333,64.99,91,99,1.01,overcast clouds
64,Clyde River,CA,2021-04-26 01:32:15,70.4692,-68.5914,23.0,93,90,21.85,mist
65,Nikolskoye,RU,2021-04-26 01:30:15,59.7035,30.7861,37.99,87,75,8.95,broken clouds
66,Hermanus,ZA,2021-04-26 01:32:15,-34.4187,19.2345,59.0,92,1,1.01,clear sky
67,Iqaluit,CA,2021-04-26 01:29:50,63.7506,-68.5145,33.8,86,90,3.15,overcast clouds
68,Puerto Ayora,EC,2021-04-26 01:31:01,-0.7393,-90.3518,75.36,84,7,6.96,clear sky
69,Atuona,PF,2021-04-26 01:32:15,-9.8,-139.0333,80.13,76,66,16.87,broken clouds
70,Sao Filipe,CV,2021-04-26 01:32:16,14.8961,-24.4956,71.56,72,100,9.55,overcast clouds
71,Carbondale,US,2021-04-26 01:32:16,37.7273,-89.2168,60.8,63,1,7.0,clear sky
72,Tiarei,PF,2021-04-26 01:32:16,-17.5333,-149.3333,86.0,66,20,5.75,light rain
73,Souillac,MU,2021-04-26 01:32:16,-20.5167,57.5167,75.2,94,75,11.5,light rain
74,Yenagoa,NG,2021-04-26 01:32:17,4.9247,6.2642,78.33,88,93,3.56,overcast clouds
75,Bambous Virieux,MU,2021-04-26 01:32:17,-20.3428,57.7575,75.2,94,75,11.5,light rain
76,Aykhal,RU,2021-04-26 01:32:17,66.0,111.5,8.11,91,100,30.69,light snow
77,Boke,GN,2021-04-26 01:32:18,10.9409,-14.2967,73.8,77,39,4.09,scattered clouds
78,Tomatlan,MX,2021-04-26 01:32:18,19.9333,-105.25,73.89,78,100,4.03,overcast clouds
79,Canutama,BR,2021-04-26 01:32:18,-6.5339,-64.3831,74.21,96,99,1.97,light rain
80,San Jose,US,2021-04-26 01:28:25,37.3394,-121.895,55.99,71,100,4.27,overcast clouds
81,Carnarvon,AU,2021-04-26 01:32:18,-24.8667,113.6333,78.8,31,0,6.91,clear sky
82,Qaanaaq,GL,2021-04-26 01:32:19,77.484,-69.3632,28.13,65,3,8.66,clear sky
83,Dingzhou,CN,2021-04-26 01:32:19,38.5131,114.9956,60.8,72,99,4.47,haze
84,Khao Yoi,TH,2021-04-26 01:32:19,13.2403,99.8243,88.0,80,93,1.63,overcast clouds
85,Saint-Pierre,RE,2021-04-26 01:32:20,-21.3393,55.4781,77.0,69,90,13.8,overcast clouds
86,Chipata,ZM,2021-04-26 01:32:20,-13.6333,32.65,60.67,93,24,4.99,few clouds
87,Graaff-Reinet,ZA,2021-04-26 01:32:20,-32.2522,24.5308,69.49,25,100,7.05,overcast clouds
88,Georgetown,MY,2021-04-26 01:30:13,5.4112,100.3354,84.2,83,20,5.75,few clouds
89,Dunda,TZ,2021-04-26 01:32:20,-8.1167,34.25,62.24,96,28,1.92,scattered clouds
90,Sorland,NO,2021-04-26 01:32:21,67.667,12.6934,37.71,61,100,10.02,overcast clouds
91,Umri,IN,2021-04-26 01:32:21,26.5106,78.9367,85.06,10,0,5.86,clear sky
92,Moron,AR,2021-04-26 01:32:21,-34.6534,-58.6198,63.0,94,18,1.01,few clouds
93,Thap Khlo,TH,2021-04-26 01:32:21,16.16,100.5966,86.0,70,98,7.18,light rain
94,Port Alfred,ZA,2021-04-26 01:30:14,-33.5906,26.891,71.11,48,87,11.77,overcast clouds
